method,cell_id,column,mae,rmse,mape,n_origins
prophet,PCI_3,Avg_RRC_Connected_Users,43.8835,59.6852,30.31,6
prophet,PCI_3,Peak_RRC_Connected_Users,61.776,82.8949,33.53,6
prophet,PCI_3,Registration_Success_Rate_%,0.366,0.5527,0.37,6
prophet,PCI_3,PDU_Session_Success_Rate_%,0.6447,1.1223,0.65,6
prophet,PCI_3,RRC_Drop_Rate_%,0.0604,0.0765,126.38,6
prophet,PCI_3,Handover_Attempts,15.7114,21.4355,31.39,6
prophet,PCI_3,Handover_Success_Rate_%,0.4227,0.6203,0.43,6
prophet,PCI_3,Xn_HO_Prep_Success_Rate_%,0.4208,0.5824,0.42,6
prophet,PCI_3,Xn_HO_Exec_Success_Rate_%,0.7583,1.2406,0.77,6
prophet,PCI_3,NG_HO_Prep_Success_Rate_%,0.6725,0.9735,0.68,6
prophet,PCI_3,NG_HO_Exec_Success_Rate_%,0.5252,0.6733,0.54,6
prophet,PCI_3,PRB_Utilization_DL_%,14.1334,19.1376,24.33,6
prophet,PCI_3,PRB_Utilization_UL_%,12.8202,16.5895,27.17,6
prophet,PCI_3,DL_Throughput_Mbps,111.6809,149.8038,33.44,6
prophet,PCI_3,UL_Throughput_Mbps,34.5548,45.6446,27.9,6
prophet,PCI_3,Total_Traffic_GB,1.069,1.4312,30.83,6
prophet,PCI_3,RACH_Success_Rate_%,0.6083,0.85,0.61,6
prophet,PCI_3,Latency_ms,2.1802,2.8021,18.23,6
prophet,PCI_4,Cell_Availability_%,0.0631,0.0889,0.06,6
prophet,PCI_4,RRC_Connection_Attempts,135.9966,188.597,25.07,6
prophet,PCI_4,RRC_Connection_Rejects,0.6342,0.7798,38.8,6
prophet,PCI_4,RRC_Success_Rate_%,0.1405,0.2044,0.14,6
prophet,PCI_4,Avg_RRC_Connected_Users,46.6854,61.749,32.19,6
prophet,PCI_4,Peak_RRC_Connected_Users,61.1933,78.7425,32.98,6
prophet,PCI_4,Registration_Success_Rate_%,0.3713,0.5532,0.37,6
prophet,PCI_4,PDU_Session_Success_Rate_%,0.3132,0.4192,0.31,6
prophet,PCI_4,RRC_Drop_Rate_%,0.063,0.0808,68.64,6
prophet,PCI_4,Handover_Attempts,16.081,21.921,33.14,6
prophet,PCI_4,Handover_Success_Rate_%,0.3473,0.4642,0.35,6
prophet,PCI_4,Xn_HO_Prep_Success_Rate_%,0.2679,0.3313,0.27,6
prophet,PCI_4,Xn_HO_Exec_Success_Rate_%,0.3674,0.4616,0.37,6
prophet,PCI_4,NG_HO_Prep_Success_Rate_%,0.9464,1.6676,0.96,6
prophet,PCI_4,NG_HO_Exec_Success_Rate_%,1.0066,1.985,1.03,6
prophet,PCI_4,PRB_Utilization_DL_%,14.0136,18.4841,23.91,6
prophet,PCI_4,PRB_Utilization_UL_%,12.2132,16.1466,26.47,6
prophet,PCI_4,DL_Throughput_Mbps,112.3679,146.9415,33.26,6
prophet,PCI_4,UL_Throughput_Mbps,30.1189,41.5632,24.09,6
prophet,PCI_4,Total_Traffic_GB,1.0381,1.3743,29.64,6
prophet,PCI_4,RACH_Success_Rate_%,0.3541,0.4716,0.36,6
prophet,PCI_4,Latency_ms,2.7075,3.4298,22.24,6
prophet,PCI_5,Cell_Availability_%,0.1016,0.1941,0.1,6
prophet,PCI_5,RRC_Connection_Attempts,139.0083,190.6436,25.54,6
